producto,unidad,precio_promedio_por_unidad,precio_promedio_por_100,energ_kcal,carbohydrt,lipid_tot,protein,fiber_td,calcium,iron,ironhem,ironnohem,zinc,vit_c,thiamin,riboflavin,niacin,panto_acid,vit_b6,folic_acid,food_folate,vit_b12,vit_a_rae,vit_e,vit_d_iu,vit_k,fa_sat,fa_mono,fa_poly,chole
ACEITE,ML,0.0491,4.9119,666.9816000000001,6.813600000000001,70.11280000000001,3.3116,1.1563999999999999,22.2608,0.7172,0.164375,0.961875,0.411304348,1.1444,0.026956521739130438,0.036666667,1.18625,0.11434782608695651,0.095217391,2.6153846153846154,6.129565217391305,1.5833333333333333,1252.3183333333334,12.495,644.3635294117647,25.520000000000003,12.34233333333333,27.732166666666668,26.766500000000004,39.90724
ACEITE DE OLIVA,ML,0.3002,30.0234,884,0,100,0,0,1,0.56,0,0.56,0,0,0,0,0,0,0,,0,0,0,14.35,,60.2,13.808,72.961,10.523,0
ACEITUNA,GR,0.3081,30.8079,197.6,2.19,20.37,1.46,3.15,106,1.7,0,1.7,0.12,0,0.02,0.01,0.24,0.02,0.03,0,3,0,20,3.81,0,1.4,3.17,23.21,1.93,0
AGUA CON GAS,ML,0.0575,5.7535,0,0,0,0,0,5,0,,,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGUA SIN GAS,ML,0.0128,1.2782,0,0,0,0,0,1,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0
AGUACATE,GR,0.0804,8.0367,116.6,5.798,10.565999999999999,1.518,4.56,7.8,0.29,0,0.29,0.49400000000000005,9.64,0.054000000000000006,0.082,1.444,1.26,0.182,0,52.6,0,6.2,1.675,0,15.75,1.8428,6.442399999999999,1.4624,0
AJO,GR,0.3899,38.9852,241.29296296296295,18.321851851851854,15.05814814814815,9.657037037037037,1.6225925925925926,160.3446153846154,1.4733333333333334,0.078181818,3.0154545454545456,1.2996153846153848,1.693703703703704,0.1025925925925926,0.15185185185185188,1.0433333333333332,0.35250000000000004,0.2862962962962963,1.3415384615384613,15.401111111111113,0.28,25.332962962962963,1.290769230769231,8.348846153846154,2.5573076923076927,3.427259259259259,5.180111111111112,5.148851851851851,19.01474074074074
AJONJOLÍ,GR,0.1757,17.5685,504.55,10.922,50.982000000000006,4.168,2.5840000000000005,224.546,3.2260000000000004,0,4.03,1.722,0.07,0.176,0.064,1.002,0.04,0.176,0,21.328,0.026000000000000002,4.944,5.529999999999999,1.6620000000000001,9.284,6.424799999999999,18.7414,23.796599999999998,0.1538
ALCACHOFA,GR,0.1747,17.4743,67,9.379999999999999,2.7,2.76,8.55,108,1.28,0,1.28,0.49,35.85,0.07,0.07,1.05,0.34,4.659999999999999,0,68,0.01,1,0.19,0,14.8,0.036,0.005,0.064,0
ALCAPARRA,GR,0.3042,30.4246,23,4.89,0.86,2.36,3.2,40,1.67,0,1.67,0.32,4.3,0.02,0.14,0.65,0.03,0.02,0,23,0,7,0.88,0,24.6,0.233,0.063,0.304,0
ALIMENTO PREPARADO PARA NIÑOS,GR,0.1315,13.1467,120.81471153846154,23.97125,1.5357692307692308,2.9960576923076925,1.4094047619047618,95.05191011235954,3.637938144329897,0.1598936170212766,3.5664893617021276,2.0812244897959182,22.902947368421056,0.19482758620689655,0.1769879518072289,2.3192134831460676,0.3375409836065574,0.22067415730337078,15.994077669902914,5.8396923076923075,0.26048192771084333,176.73701149425287,0.5584285714285715,63.95662162162162,5.179827586206896,0.3476923076923077,0.341828125,0.326765625,3.4843026315789474
ALMEJA,GR,0.0558,5.5838,44.6,2.9899999999999998,0.39499999999999996,7.22,0.175,41.480000000000004,1.775,0.68,1.095,0.89,2.5,0.015,0.025,0.29,0.11499999999999999,0.034999999999999996,0,6.5,5.654999999999999,48.5,0.395,1.18,0.2,0.002,0,0.07,15.5
ALMENDRAS,GR,0.4245,42.4548,388.09000000000003,44.86,20.78,9.175999999999998,5.6259999999999994,116.1,3.3299999999999996,0,2.03,1.6759999999999997,0.04,0.268,0.484,3.026,0.4039999999999999,0.254,0,15,0.028000000000000004,12.5,12.013333333333334,11.066666666666668,0.5,4.619999999999999,10.188399999999998,4.872400000000001,0
ALUBIA,GR,0.0727,7.2658,267.43,44.50666666666666,2.6533333333333333,17.05333333333333,10.023333333333333,92.51666666666667,4.576666666666666,0.003333333,4.6499999999999995,2.686666666666666,1.6033333333333335,0.4000000000000001,0.15666666666666665,1.5366666666666668,0.75,0.32,0.02,302.91333333333336,0.01,3.0066666666666664,0.21333333333333335,0.26,4.08,0.5910000000000001,0.7736666666666667,0.9423333333333334,1.0873333333333333
